Num Fea HI AR GK AL TB VE AV OC LI OE OI LA LU LY TA PE PR LT GO ON OG WE OS UM
158.1 stand1 1 2 3 4 5 3 3 3 3 3 3 3 3 3 5 3 3 3 3 3 3 3 3 3 
158.2 stand2 1 2 3 4 5 3 3 3 6 7 3 8 3 3 5 3 3 6 7 7 7 3 8 8 
159.1 star1 1 1 1 2 1 1 1 3 3 1 4 1 5 6 1 7 8 3 1 1 1 1 9 10 
159.2 star2 1 1 1 2 11 1 1 3 3 12 4 1 5 6 11 7 8 3 12 12 12 1 9 10 
160 stick 1 2 3 4 5 6 7 8 9 10 11 3 12 13 14 15 9 16 17 18 19 20 21 22 
161 stone 1 2 3 4 5 6 6 6 6 7 8 9 10 11 12 6 13 6 7 7 7 14 15 9 
162 straight 1 2 3 4 5 6 6 7 8 17 6 17 9 10 11 12 13 8 17 17 17 14 15 16 
163.2 suck2 1 2 2 3 4 2 5 15 6 16 2 16 7 8 9 10 11 6 12 16 16 2 13 14 
164.1 sun1 1 2 3 4 5 3 3 3 3 3 6 3 11 7 5 8 3 3 3 3 3 3 9 10 
165 swell 1 2 2 3 4 5 5 6 7 8 9 10 11 12 13 14 15 16 17 8 8 18 19 20 
167 tail 1 2 3 4 5 6 7 8 9 10 23 11 12 13 14 15 16 17 18 19 10 20 21 22 
169 there 2 3 5 6 6 6 8 6 6 6 9 7 11 12 6 13 6 6 6 6 6 15 7 7 
171 thick 1 2 3 4 5 3 6 7 8 9 9 10 11 12 13 14 15 16 17 9 9 9 18 19 
172 thin 1 2 3 4 5 6 7 6 8 6 6 6 9 10 11 12 13 6 14 6 6 6 15 16 
175 thou 1 1 1 1 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 1 2 1 6 
176 three 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
177 throw 1 2 3 4 5 1 1 6 6 7 8 9 10 11 12 1 6 6 7 7 7 13 14 15 
179.1 tongue1 1 2 3 4 2 2 2 2 2 2 2 2 1 5 2 2 2 6 2 2 2 2 2 7 
179.2 tongue2 1 2 3 4 8 9 9 10 11 12 13 2 1 5 8 9 10 6 12 12 12 13 14 7 
179.3 tongue3 1 2 3 4 8 9 15 10 11 12 13 2 1 5 8 15 10 6 12 12 12 13 14 7 
181.1 tree1 1 2 1 1 3 4 5 1 6 1 7 8 9 10 3 11 12 13 14 1 17 7 15 16 
181.2 tree2 1 2 1 1 3 4 5 1 6 18 7 8 9 10 3 11 12 13 14 18 17 7 15 16 
182 turn 1 2 3 4 5 6 7 8 6 9 10 6 11 12 5 6 6 6 9 13 9 14 15 6 
183 two 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 3 1 
184 vomit 1 2 3 4 5 3 3 6 3 7 8 3 9 10 11 12 3 3 13 7 7 8 14 15 
189a us 2 2 2 2 1 2 2 2 3 2 2 2 2 5 1 6 3 3 2 2 2 2 8 10 
191 what 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 
192.1 when1 1 8 9 10 2 11 11 12 11 13 14 15 16 3 2 4 11 11 13 13 13 17 5 6 
